,index,Episode,Speaker,Internal,NumWords
374,374,3,Jeremy,False,2
375,375,3,Jeremy,False,2
376,376,3,Jeremy,False,6
377,377,3,Jeremy,False,4
378,378,3,Jeremy,False,4
379,379,3,Jeremy,False,5
380,380,3,Jeremy,False,9
381,381,3,Jeremy,False,10
382,382,3,Jeremy,False,3
383,383,3,Jeremy,True,12
384,384,3,Jeremy,False,3
385,385,3,Jeremy,False,2
386,386,3,Jeremy,False,1
387,387,3,Jeremy,False,10
388,388,3,Jeremy,False,2
389,389,3,Jeremy,False,4
390,390,3,Jeremy,False,6
391,391,3,Jeremy,True,6
392,392,3,Jeremy,True,13
393,393,3,Jeremy,True,6
394,394,3,Jeremy,False,1
395,395,3,Jeremy,False,9
396,396,3,Jeremy,False,6
397,397,3,Jeremy,True,8
398,398,3,Jeremy,False,1
399,399,3,Jeremy,True,32
400,400,3,Jeremy,True,4
401,401,3,Jeremy,True,5
402,402,3,Jeremy,True,2
403,403,3,Jeremy,True,3
404,404,3,Jeremy,True,2
405,405,3,Jeremy,False,5
406,406,3,Jeremy,False,4
407,407,3,Jeremy,False,12
408,408,3,Jeremy,True,6
409,409,3,Jeremy,True,3
410,410,3,Jeremy,True,1
411,411,3,Jeremy,True,6
412,412,3,Jeremy,True,7
413,413,3,Jeremy,True,7
414,414,3,Jeremy,True,1
415,415,3,Jeremy,True,6
416,416,3,Jeremy,True,13
417,417,3,Jeremy,False,1
418,418,3,Jeremy,True,4
419,419,3,Jeremy,True,7
420,420,3,Jeremy,False,4
421,421,3,Jeremy,False,2
422,422,3,Jeremy,True,6
423,423,3,Jeremy,True,5
424,424,3,Jeremy,True,8
425,425,3,Jeremy,False,5
426,426,3,Jeremy,True,16
427,427,3,Jeremy,False,2
428,428,3,Jeremy,True,3
429,429,3,Jeremy,True,10
430,430,3,Jeremy,True,4
431,431,3,Jeremy,True,4
432,432,3,Jeremy,True,5
433,433,3,Jeremy,False,7
434,434,3,Jeremy,False,5
435,435,3,Jeremy,False,9
436,436,3,Jeremy,False,2
437,437,3,Jeremy,False,5
438,438,3,Jeremy,False,5
439,439,4,Jeremy,False,6
440,440,4,Jeremy,False,5
441,441,4,Jeremy,False,4
442,442,4,Jeremy,False,4
443,443,4,Jeremy,False,6
444,444,4,Jeremy,False,20
445,445,4,Jeremy,True,3
446,446,4,Jeremy,True,3
447,447,4,Jeremy,False,3
448,448,4,Jeremy,True,3
449,449,4,Jeremy,True,2
450,450,4,Jeremy,False,2
451,451,4,Jeremy,False,7
452,452,4,Jeremy,True,9
453,453,4,Jeremy,True,6
454,454,4,Jeremy,True,5
455,455,4,Jeremy,True,3
456,456,4,Jeremy,True,4
457,457,4,Jeremy,True,10
458,458,4,Jeremy,True,34
459,459,4,Jeremy,True,2
460,460,4,Jeremy,True,2
461,461,4,Jeremy,True,18
462,462,4,Jeremy,True,7
463,463,4,Jeremy,False,3
464,464,4,Jeremy,False,3
465,465,4,Jeremy,False,3
466,466,4,Jeremy,False,8
467,467,4,Jeremy,False,1
468,468,4,Jeremy,False,1
469,469,4,Jeremy,False,5
470,470,4,Jeremy,False,6
471,471,4,Jeremy,False,9
472,472,4,Jeremy,False,8
473,473,4,Jeremy,False,3
474,474,4,Jeremy,False,3
475,475,4,Jeremy,False,1
476,476,4,Jeremy,False,1
477,477,4,Jeremy,False,6
478,478,4,Jeremy,False,3
479,479,4,Jeremy,True,4
480,480,4,Jeremy,True,9
481,481,4,Jeremy,True,6
482,482,4,Jeremy,True,7
483,483,4,Jeremy,True,2
484,484,4,Jeremy,False,6
485,485,4,Jeremy,False,20
486,486,4,Jeremy,False,10
487,487,4,Jeremy,False,15
488,488,4,Jeremy,False,4
489,489,4,Jeremy,False,22
490,490,4,Jeremy,False,1
491,491,4,Jeremy,False,2
492,492,4,Jeremy,False,4
493,493,4,Jeremy,False,6
494,494,4,Jeremy,False,4
495,495,4,Jeremy,False,5
496,496,4,Jeremy,False,9
497,497,4,Jeremy,True,3
498,498,4,Jeremy,True,3
499,499,4,Jeremy,True,4
500,500,4,Jeremy,False,2
501,501,4,Jeremy,False,5
502,502,4,Jeremy,False,1
503,503,4,Jeremy,False,2
504,504,4,Jeremy,False,7
505,505,4,Jeremy,False,3
506,506,4,Jeremy,False,15
507,507,4,Jeremy,False,3
508,508,4,Jeremy,False,4
509,509,4,Jeremy,False,1
510,510,4,Jeremy,True,4
511,511,4,Jeremy,True,5
512,512,4,Jeremy,True,3
513,513,4,Jeremy,True,5
514,514,4,Jeremy,False,1
515,515,4,Jeremy,False,2
516,516,4,Jeremy,False,2
517,517,4,Jeremy,False,11
518,518,4,Jeremy,False,6
519,519,4,Jeremy,False,12
520,520,4,Jeremy,False,10
521,521,4,Jeremy,False,2
522,522,4,Jeremy,False,5
523,523,4,Jeremy,False,4
524,524,4,Jeremy,False,2
525,525,4,Jeremy,False,4
526,526,4,Jeremy,False,4
527,527,4,Jeremy,False,1
528,528,4,Jeremy,True,8
529,529,4,Jeremy,False,9
530,530,4,Jeremy,False,1
531,531,4,Jeremy,False,1
532,532,4,Jeremy,False,7
533,533,4,Jeremy,False,2
534,534,4,Jeremy,False,8
535,535,4,Jeremy,False,1
536,536,4,Jeremy,False,4
537,537,4,Jeremy,False,4
538,538,4,Jeremy,False,6
539,539,4,Jeremy,False,8
540,540,4,Jeremy,True,5
541,541,4,Jeremy,True,10
542,542,4,Jeremy,True,7
543,543,4,Jeremy,False,7
544,544,4,Jeremy,False,7
545,545,4,Jeremy,False,3
546,546,4,Jeremy,False,20
547,547,4,Jeremy,False,4
548,548,4,Jeremy,False,7
549,549,4,Jeremy,False,24
550,550,4,Jeremy,False,2
551,551,4,Jeremy,False,5
552,552,4,Jeremy,False,9
553,553,4,Jeremy,False,11
554,554,4,Jeremy,False,12
555,555,4,Jeremy,False,1
556,556,4,Jeremy,True,1
557,557,4,Jeremy,True,5
558,558,4,Jeremy,True,5
559,559,4,Jeremy,False,7
560,560,4,Jeremy,False,6
561,561,4,Jeremy,False,5
562,562,4,Jeremy,False,2
563,563,4,Jeremy,False,4
564,564,4,Jeremy,False,10
565,565,4,Jeremy,False,16
566,566,4,Jeremy,False,5
567,567,4,Jeremy,False,4
568,568,4,Jeremy,False,3
569,569,4,Jeremy,False,7
570,570,4,Jeremy,False,3
571,571,4,Jeremy,False,17
572,572,4,Jeremy,False,7
573,573,4,Jeremy,False,4
574,574,4,Jeremy,False,12
575,575,4,Jeremy,False,4
576,576,4,Jeremy,False,2
577,577,4,Jeremy,False,2
578,578,4,Jeremy,False,6
579,579,4,Jeremy,False,3
580,580,4,Jeremy,False,8
581,581,4,Jeremy,False,2
582,582,4,Jeremy,False,1
583,583,4,Jeremy,False,16
584,584,4,Jeremy,True,4
585,585,4,Jeremy,True,4
586,586,4,Jeremy,True,5
587,587,4,Jeremy,True,12
588,588,4,Jeremy,False,1
589,589,4,Jeremy,False,2
590,590,4,Jeremy,False,11
591,591,4,Jeremy,False,5
592,592,4,Jeremy,False,2
593,593,4,Jeremy,False,1
594,594,4,Jeremy,False,9
595,595,4,Jeremy,False,20
596,596,4,Jeremy,False,2
597,597,4,Jeremy,False,1
598,598,4,Jeremy,False,2
599,599,4,Jeremy,False,2
600,600,4,Jeremy,False,2
601,601,4,Jeremy,False,7
602,602,4,Jeremy,True,4
603,603,4,Jeremy,True,4
604,604,4,Jeremy,True,9
605,605,4,Jeremy,False,4
606,606,4,Jeremy,False,3
607,607,4,Jeremy,False,7
608,608,4,Jeremy,False,5
609,609,4,Jeremy,False,8
610,610,4,Jeremy,False,3
611,611,4,Jeremy,False,5
612,612,4,Jeremy,False,4
613,613,4,Jeremy,False,6
614,614,4,Jeremy,False,6
615,615,4,Jeremy,False,1
616,616,4,Jeremy,False,12
617,617,4,Jeremy,False,3
618,618,4,Jeremy,False,14
619,619,4,Jeremy,False,5
620,620,4,Jeremy,False,5
621,621,4,Jeremy,False,3
622,622,4,Jeremy,False,4
623,623,4,Jeremy,False,4
624,624,4,Jeremy,False,2
625,625,4,Jeremy,False,8
626,626,4,Jeremy,False,3
627,627,4,Jeremy,False,5
628,628,5,Jeremy,False,10
629,629,5,Jeremy,False,1
630,630,5,Jeremy,False,14
631,631,5,Jeremy,False,4
632,632,5,Jeremy,False,3
633,633,5,Jeremy,False,19
634,634,5,Jeremy,False,2
635,635,5,Jeremy,False,2
636,636,5,Jeremy,False,4
637,637,5,Jeremy,False,6
638,638,5,Jeremy,False,8
